"Step","DQN_None_ZigZag_100 - eval/avg_reward","DQN_None_ZigZag_100 - eval/avg_reward__MIN","DQN_None_ZigZag_100 - eval/avg_reward__MAX","DQN_None_ZigZag_90 - eval/avg_reward","DQN_None_ZigZag_90 - eval/avg_reward__MIN","DQN_None_ZigZag_90 - eval/avg_reward__MAX","DQN_None_ZigZag_80 - eval/avg_reward","DQN_None_ZigZag_80 - eval/avg_reward__MIN","DQN_None_ZigZag_80 - eval/avg_reward__MAX","DQN_None_ZigZag_70 - eval/avg_reward","DQN_None_ZigZag_70 - eval/avg_reward__MIN","DQN_None_ZigZag_70 - eval/avg_reward__MAX","DQN_None_ZigZag_60 - eval/avg_reward","DQN_None_ZigZag_60 - eval/avg_reward__MIN","DQN_None_ZigZag_60 - eval/avg_reward__MAX","DQN_None_ZigZag_50 - eval/avg_reward","DQN_None_ZigZag_50 - eval/avg_reward__MIN","DQN_None_ZigZag_50 - eval/avg_reward__MAX","DQN_None_ZigZag_40 - eval/avg_reward","DQN_None_ZigZag_40 - eval/avg_reward__MIN","DQN_None_ZigZag_40 - eval/avg_reward__MAX","DQN_None_ZigZag_30 - eval/avg_reward","DQN_None_ZigZag_30 - eval/avg_reward__MIN","DQN_None_ZigZag_30 - eval/avg_reward__MAX","DQN_None_ZigZag_20 - eval/avg_reward","DQN_None_ZigZag_20 - eval/avg_reward__MIN","DQN_None_ZigZag_20 - eval/avg_reward__MAX","DQN_None_ZigZag_10 - eval/avg_reward","DQN_None_ZigZag_10 - eval/avg_reward__MIN","DQN_None_ZigZag_10 - eval/avg_reward__MAX"
"34000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"34500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"35000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"35500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"36000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"36500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"37000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"37500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"38000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"38500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
