"Step","DQN_TempoRL_Bridge_100 - eval/avg_reward","DQN_TempoRL_Bridge_100 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_100 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_90 - eval/avg_reward","DQN_TempoRL_Bridge_90 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_90 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_80 - eval/avg_reward","DQN_TempoRL_Bridge_80 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_80 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_70 - eval/avg_reward","DQN_TempoRL_Bridge_70 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_70 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_60 - eval/avg_reward","DQN_TempoRL_Bridge_60 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_60 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_50 - eval/avg_reward","DQN_TempoRL_Bridge_50 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_50 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_40 - eval/avg_reward","DQN_TempoRL_Bridge_40 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_40 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_30 - eval/avg_reward","DQN_TempoRL_Bridge_30 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_30 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_20 - eval/avg_reward","DQN_TempoRL_Bridge_20 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_20 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_10 - eval/avg_reward","DQN_TempoRL_Bridge_10 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_10 - eval/avg_reward__MAX"
"24000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"24500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"25000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"25500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"26000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"26500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"27000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"27500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"28000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"28500","-13","-13","-13","-13","-13","-13","-14","-14","-14","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
