"Step","DQN_EQL_Bridge_100 - eval/avg_reward","DQN_EQL_Bridge_100 - eval/avg_reward__MIN","DQN_EQL_Bridge_100 - eval/avg_reward__MAX","DQN_EQL_Bridge_90 - eval/avg_reward","DQN_EQL_Bridge_90 - eval/avg_reward__MIN","DQN_EQL_Bridge_90 - eval/avg_reward__MAX","DQN_EQL_Bridge_80 - eval/avg_reward","DQN_EQL_Bridge_80 - eval/avg_reward__MIN","DQN_EQL_Bridge_80 - eval/avg_reward__MAX","DQN_EQL_Bridge_70 - eval/avg_reward","DQN_EQL_Bridge_70 - eval/avg_reward__MIN","DQN_EQL_Bridge_70 - eval/avg_reward__MAX","DQN_EQL_Bridge_60 - eval/avg_reward","DQN_EQL_Bridge_60 - eval/avg_reward__MIN","DQN_EQL_Bridge_60 - eval/avg_reward__MAX","DQN_EQL_Bridge_50 - eval/avg_reward","DQN_EQL_Bridge_50 - eval/avg_reward__MIN","DQN_EQL_Bridge_50 - eval/avg_reward__MAX","DQN_EQL_Bridge_40 - eval/avg_reward","DQN_EQL_Bridge_40 - eval/avg_reward__MIN","DQN_EQL_Bridge_40 - eval/avg_reward__MAX","DQN_EQL_Bridge_30 - eval/avg_reward","DQN_EQL_Bridge_30 - eval/avg_reward__MIN","DQN_EQL_Bridge_30 - eval/avg_reward__MAX","DQN_EQL_Bridge_20 - eval/avg_reward","DQN_EQL_Bridge_20 - eval/avg_reward__MIN","DQN_EQL_Bridge_20 - eval/avg_reward__MAX","DQN_EQL_Bridge_10 - eval/avg_reward","DQN_EQL_Bridge_10 - eval/avg_reward__MIN","DQN_EQL_Bridge_10 - eval/avg_reward__MAX"
"28000","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102","-101","-101","-101"
"28500","-13","-13","-13","-102","-102","-102","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-101","-101","-101","-101","-101","-101"
"29000","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101"
"29500","-101","-101","-101","-101","-101","-101","-13","-13","-13","-102","-102","-102","-101","-101","-101","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13"
"30000","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-102","-102","-102","-101","-101","-101","-102","-102","-102","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"30500","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-102","-102","-102","-101","-101","-101"
"31000","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-102","-102","-102","-101","-101","-101"
"31500","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101"
"32000","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-102","-102","-102","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"32500","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"33000","-101","-101","-101","-102","-102","-102","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-102","-102","-102"
"33500","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101"
"34000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-102","-102","-102"
"34500","-102","-102","-102","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"35000","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101"
"35500","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101"
"36000","-102","-102","-102","-13","-13","-13","-102","-102","-102","-102","-102","-102","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-102","-102","-102","-101","-101","-101"
"36500","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-102","-102","-102","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13"
"37000","-101","-101","-101","-13","-13","-13","-101","-101","-101","-102","-102","-102","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-102","-102","-102"
"37500","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"38000","-101","-101","-101","-13","-13","-13","-101","-101","-101","-102","-102","-102","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"38500","-102","-102","-102","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"39000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-102","-102","-102","-101","-101","-101","-101","-101","-101"
"39500","-101","-101","-101","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101","-102","-102","-102","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13"
"40000","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"40500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-102","-102","-102","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101"
"41000","-13","-13","-13","-13","-13","-13","-102","-102","-102","-101","-101","-101","-101","-101","-101","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"41500","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"42000","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"42500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"43000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"43500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-102","-102","-102","-13","-13","-13","-13","-13","-13"
"44000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-102","-102","-102"
"44500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-102","-102","-102"
"45000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13"
