"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DQN - eval/avg_reward","Group: DQN - eval/avg_reward__MIN","Group: DQN - eval/avg_reward__MAX"
"20000","-13","-13","-13","-23.444444444444443","-107","-13","-13.11111111111111","-14","-13","-13","-13","-13","-13","-13","-13","-79.25","-102","-13","-24","-100","-13","-34.75","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-42","-100","-13"
"20500","-21.7","-100","-13","-13","-13","-13","-22.666666666666668","-100","-13","-22.666666666666668","-100","-13","-13","-13","-13","-79.125","-102","-13","-23.875","-100","-13","-13","-13","-13","-23.875","-100","-13","-24","-101","-13","-13","-13","-13","-42","-100","-13"
"21000","-21.7","-100","-13","-13","-13","-13","-13.11111111111111","-14","-13","-13","-13","-13","-21.7","-100","-13","-90","-102","-13","-23.875","-100","-13","-13","-13","-13","-23.875","-100","-13","-35","-101","-13","-13","-13","-13","-27.5","-100","-13"
"21500","-21.7","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-21.7","-100","-13","-68.25","-102","-13","-23.875","-100","-13","-13","-13","-13","-23.875","-100","-13","-35","-101","-13","-13","-13","-13","-27.5","-100","-13"
"22000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-21.7","-100","-13","-57.125","-102","-13","-23.875","-100","-13","-13","-13","-13","-13.25","-15","-13","-35","-101","-13","-13","-13","-13","-27.5","-100","-13"
"22500","-13.1","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-21.7","-100","-13","-68.125","-102","-13","-23.875","-100","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-27.5","-100","-13"
"23000","-13","-13","-13","-13","-13","-13","-13.11111111111111","-14","-13","-22.666666666666668","-100","-13","-21.7","-100","-13","-35","-101","-13","-23.875","-100","-13","-23.875","-100","-13","-23.875","-100","-13","-35","-101","-13","-13","-13","-13","-27.5","-100","-13"
"23500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35.125","-102","-13","-23.875","-100","-13","-13","-13","-13","-23.875","-100","-13","-24","-101","-13","-13","-13","-13","-27.5","-100","-13"
"24000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-90.25","-102","-13","-23.875","-100","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-27.5","-100","-13"
"24500","-21.7","-100","-13","-13","-13","-13","-13","-13","-13","-22.666666666666668","-100","-13","-13","-13","-13","-101.125","-102","-101","-23.875","-100","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
