"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: DDQN - eval/avg_reward","Group: DDQN - eval/avg_reward__MIN","Group: DDQN - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX"
"21500","-28.3","-100","-20","-38.4","-116","-20","-40","-100","-20","-40","-100","-20","-30","-100","-20","-28.1","-100","-20","-36.3","-101","-20","-20.6","-22","-20","-28.2","-100","-20","-20","-20","-20","-48.166666666666664","-109","-20","-20","-20","-20"
"22000","-20.5","-23","-20","-38.6","-118","-20","-30.125","-100","-20","-40","-100","-20","-30","-100","-20","-28.1","-100","-20","-62.4","-111","-20","-20.6","-22","-20","-36","-100","-20","-20","-20","-20","-35","-110","-20","-20","-20","-20"
"22500","-28.3","-100","-20","-28.8","-100","-20","-20","-20","-20","-20","-20","-20","-30","-100","-20","-20.2","-21","-20","-36.9","-101","-20","-20.4","-22","-20","-20.1","-21","-20","-20","-20","-20","-33.5","-101","-20","-20","-20","-20"
"23000","-20.3","-22","-20","-28.8","-100","-20","-20","-20","-20","-20","-20","-20","-30","-100","-20","-36.2","-100","-20","-53.2","-109","-20","-20.2","-22","-20","-20.1","-21","-20","-20","-20","-20","-33.666666666666664","-102","-20","-20","-20","-20"
"23500","-20.4","-22","-20","-36.8","-100","-20","-20","-20","-20","-20.125","-21","-20","-30","-100","-20","-36.3","-100","-20","-45.3","-111","-20","-20.4","-22","-20","-20","-20","-20","-36","-100","-20","-33.5","-101","-20","-20","-20","-20"
"24000","-20.3","-22","-20","-36.6","-100","-20","-20","-20","-20","-20","-20","-20","-20.375","-23","-20","-28.1","-100","-20","-36.7","-101","-20","-20.4","-22","-20","-20","-20","-20","-20","-20","-20","-48.666666666666664","-111","-20","-20","-20","-20"
"24500","-20.2","-22","-20","-52.2","-100","-20","-20","-20","-20","-20","-20","-20","-20.375","-23","-20","-20.3","-21","-20","-37.3","-109","-20","-20.1","-21","-20","-20.1","-21","-20","-20","-20","-20","-34.833333333333336","-109","-20","-20","-20","-20"
"25000","-20.3","-22","-20","-36.2","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.4","-21","-20","-45.2","-111","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"25500","-20","-20","-20","-44","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.4","-22","-20","-62.2","-110","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-34.833333333333336","-109","-20","-20","-20","-20"
"26000","-20","-20","-20","-28.2","-100","-20","-20","-20","-20","-20","-20","-20","-20.5","-24","-20","-20","-20","-20","-36.8","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-50","-111","-20","-20","-20","-20"
