"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"9000","-225.51961479408828","-762.865284649228","-121.15514769843426","-167.2863315374846","-277.0386517662969","-119.87340578154287","-193.17742629556687","-475.63508959147464","-119.28083033049026","-148.8985106501163","-204.38671161040844","-119.78938148981065","-151.85911741186172","-210.80122851264156","-120.12460710800963","-162.5253509666294","-247.0313847818142","-120.50349159945772","-199.22756158325546","-372.730094624213","-121.75559119657257","-372.16144711613026","-558.4043340141981","-120.66569727369169","-153.8134853233077","-207.55385339225796","-121.77578444196665"
"9300","-214.1073042441886","-418.0042181781608","-122.56550424587117","-187.18914710311515","-325.3640222850137","-121.68049909963277","-229.2226405211865","-685.789784987616","-119.54692933905577","-152.145628346765","-204.5990860514693","-119.85096686232453","-151.27970860767263","-211.38996146517076","-118.86419240384575","-184.47158645054077","-503.43237417089375","-119.31194543584927","-174.08202241436496","-292.1649631584042","-118.7259565993749","-347.67865428489546","-618.1554754595393","-172.06534239777054","-152.34738795578747","-209.1533366276855","-121.47141153349983"
"9600","-192.4967628337493","-362.27855649211597","-120.86175009848941","-175.86104584476166","-270.53704367815044","-119.93473720701533","-230.58145091128011","-683.6434876933372","-119.99752512168439","-164.87835746805172","-333.0180025648295","-119.82397813540906","-151.20530452596037","-212.53366724947904","-120.62947714356622","-167.4869787828658","-261.85337651382576","-119.75389302860226","-176.41709944271565","-246.35112873860817","-120.22351073891598","-380.7511734550201","-708.2560606909599","-175.1904431742825","-160.44764537926184","-213.23303433854636","-120.98879270729518"
"9900","-253.4211359125086","-582.8939523868816","-119.98496393391102","-190.38582394679298","-447.5395779935414","-118.98933801003423","-234.34044152880728","-686.1984931081537","-120.12300548797062","-148.85282007907193","-203.90734273840133","-118.92967568223423","-151.4293321215346","-210.69283144549155","-118.81704677354371","-165.008880609965","-234.6931334946642","-119.19477783174682","-187.65509940864212","-325.6949556570995","-119.06925658195476","-421.91654213138224","-618.0995785324079","-151.92942356311428","-153.05938388946862","-210.01228881502934","-121.35025628870979"
"10200","-226.6373252878699","-579.9725915101315","-121.13417821413182","-157.69938732985233","-233.2657006482506","-118.83124295769021","-244.1435677124774","-760.4470163477419","-119.96568326412626","-156.6593672457144","-217.92836723215905","-118.70917890887445","-151.0187923313539","-209.52765284682263","-119.21492459102531","-155.00506264682363","-208.64497821406385","-118.83038202701273","-171.89412723524225","-229.65843232364787","-119.51198565028146","-353.0034549922387","-532.247582777043","-121.60945629232496","-154.4807009176283","-210.5503793953172","-121.6333341607203"
"10500","-181.22223129448906","-301.72175100475","-120.20651626625211","-165.4116902315655","-302.2667607492975","-119.61064796813176","-253.37328031289888","-707.4766934185012","-119.85093285452663","-153.92407709979193","-224.05335500793916","-119.71980429888853","-150.3402690962024","-206.72511486411332","-120.6292692280726","-151.13651449586288","-205.50873257448728","-119.05351794603602","-182.5697615960046","-278.71228595746635","-119.80012831873323","-398.18108459914777","-730.0210932893623","-143.67923313587158","-152.01922487401586","-211.1136288338959","-121.67805525789834"
"10800","-206.3038890269419","-461.34089402323997","-120.2085301143803","-166.3008072065799","-246.39448514592414","-120.56813219170049","-247.52941877797798","-706.5886293169768","-119.71319933098644","-152.88127203736946","-219.41049737278436","-119.77789572817319","-153.98115554955797","-207.8349509109259","-119.9154299582065","-150.84812485170792","-208.78116661854398","-119.47541444595649","-181.59936175827454","-275.9656452359789","-119.36048115550732","-327.6345923141329","-761.9708099991097","-120.89714254251797","-154.9311502888598","-210.71912803124323","-121.65651070782421"
"11100","-203.00219217323271","-382.0916984850877","-121.93099109869362","-178.1003989717137","-404.92644701939","-119.68435132007714","-259.51645768243327","-709.8836673879699","-119.68852125034182","-158.4850932706715","-217.64607398225576","-121.52847060552642","-151.09358094890516","-207.2856358318092","-121.29123707932663","-167.47233826589675","-305.2884610159398","-118.80002202857914","-195.0990940187035","-334.4114228140641","-119.01638862230682","-333.9663348440701","-605.777467723504","-143.2716647362257","-154.74943278838265","-210.44254880630746","-121.51065219833563"
"11400","-183.79872590331965","-327.31617432522575","-121.48401129109791","-197.81125503091152","-325.2237415421465","-120.19291861030733","-328.02782284358153","-672.3670467927111","-119.00490220102715","-151.58951161428635","-205.1633538496057","-120.62023124054119","-154.05689955467682","-232.28907990217598","-120.64822727515153","-172.2849126375899","-299.65483555407184","-119.37671839537688","-225.05287562526055","-622.807343405222","-119.54957475681454","-332.871324939216","-611.0967793791903","-123.64179432463656","-150.58925549517892","-206.09842716445854","-121.39421234177703"
"11700","-170.82352796591803","-298.9683014958573","-120.7392948186961","-205.8046762754214","-411.8336218736026","-123.198370148769","-232.29268047557503","-518.5364940566991","-118.66194846518985","-154.47837311266278","-206.06955708057666","-122.77812786030083","-150.9853735974986","-207.36500086611173","-119.88397021372539","-154.64948620527687","-208.57696346141148","-120.21078364775504","-169.73972812805752","-223.7039236473791","-119.97201438849189","-353.86100745837604","-599.7175978267057","-195.46488369222726","-150.07219257161927","-209.15984031133098","-121.12892112853994"
