"Step","Group: UTE_2 - eval/average_reward","Group: UTE_2 - eval/average_reward__MIN","Group: UTE_2 - eval/average_reward__MAX","Group: UTE_-2 - eval/average_reward","Group: UTE_-2 - eval/average_reward__MIN","Group: UTE_-2 - eval/average_reward__MAX","Group: EQL_uniform - eval/average_reward","Group: EQL_uniform - eval/average_reward__MIN","Group: EQL_uniform - eval/average_reward__MAX","Group: EQL_geo03 - eval/average_reward","Group: EQL_geo03 - eval/average_reward__MIN","Group: EQL_geo03 - eval/average_reward__MAX","Group: TempoRL - eval/average_reward","Group: TempoRL - eval/average_reward__MIN","Group: TempoRL - eval/average_reward__MAX","Group: DDPG - eval/average_reward","Group: DDPG - eval/average_reward__MIN","Group: DDPG - eval/average_reward__MAX"
"17100","-335.44655087329687","-618.8216942651411","-130.90776445190303","-255.94612602117098","-639.2832186145366","-139.68099640025568","-159.45312195876377","-216.58703796295376","-124.90812104939982","-153.27765381623516","-193.964141903507","-124.06620824381666","-314.76189339344126","-490.65950527995085","-144.9195166431017","-166.37145213513287","-313.7237836716296","-123.47968429224507"
"17400","-363.89236377966506","-623.2729355687864","-221.95664600595575","-274.62644649967115","-549.5349295870991","-136.30926834646831","-156.5231972884564","-208.38473206109543","-123.16311738455781","-163.7559975795859","-207.49337403228105","-134.96863216018556","-277.2024745863568","-616.2970290942069","-135.19600158345958","-157.0084166388107","-196.82135564613458","-119.9486465455104"
"17700","-384.132090776181","-585.7900238950073","-140.8957529631785","-266.19932402263913","-573.0864750242388","-136.11539498088712","-157.82228049228723","-207.60140905851796","-118.63894471214294","-156.6874937100857","-208.18589455694138","-124.33823312992986","-317.41762787607365","-688.1173923006846","-121.62261535256793","-153.23714962418578","-193.90057268539513","-121.13368987861982"
"18000","-373.2740999550978","-637.392448383541","-184.15443940871862","-226.00092147722845","-445.3532007571591","-152.5967603498362","-154.16748719648498","-195.88836031418072","-121.3798589132529","-213.97222974526116","-771.9203524639217","-121.66897437831717","-424.3638857123804","-632.1123356379259","-122.20439211010239","-160.99014717959759","-201.47701830458954","-121.34771618626664"
"18300","-396.3579638377323","-579.7828376145765","-131.75928080497414","-204.18701843903065","-362.80940315145875","-121.03492654098334","-154.75477751774122","-194.3152322059424","-124.93863837642648","-173.05955665303895","-310.5835567109535","-123.93000662027036","-410.6883881783027","-623.7475862249863","-208.39653206355928","-161.35002244491724","-202.71045129318202","-125.59275277383797"
"18600","-394.43493923027916","-601.777087492243","-222.1396134740906","-250.15925922719293","-403.6916900563389","-125.82687121806195","-156.61786731484838","-206.57273173797893","-121.40478297033425","-159.24550179375666","-198.27425702731324","-124.60267229920048","-326.57889290566357","-461.9244441480055","-189.53564920782884","-154.84076899838695","-201.74344160790187","-123.4336735737013"
"18900","-396.36065255277924","-565.209251788877","-174.5240019222684","-252.4139551500908","-460.033222244226","-134.03506444383112","-160.1105221468797","-221.41329880109225","-123.07233859438892","-168.96892094337085","-235.81021730540533","-122.76551010316719","-340.7388867695768","-512.3867411202631","-161.6604835982936","-154.24417575777144","-199.78819247700886","-125.98458565872079"
"19200","-412.64573166988276","-706.8188371775874","-188.7058639654815","-241.9554716588994","-425.5459051024212","-134.16071493751627","-155.65969548195275","-204.5304041517355","-123.51501864001048","-163.19251764126557","-192.78152207949424","-135.76702479873143","-369.8869652145448","-659.4934538528933","-135.98069567797688","-153.60491100131975","-200.1844557051319","-125.94612208057315"
"19500","-466.3984274874986","-613.9674967866371","-188.16683678488658","-187.5038038030205","-343.95491882650435","-137.03918532666725","-159.6129527942597","-197.3065248980733","-131.03247495714697","-167.94170092347295","-239.67626333415097","-127.03867757363987","-230.66099674024298","-400.13549950441063","-138.34921735376045","-193.89777265988752","-543.6778956693213","-124.35314425039576"
"19800","-401.2823158928009","-505.48215229966445","-290.5429876225517","-224.33423198063423","-477.45262130312966","-122.63582297072465","-158.26420550595304","-194.8736181450867","-122.79206891566136","-159.4178799852046","-194.128900416778","-122.17753536210371","-332.8813128043298","-627.9758890363076","-133.7174583019374","-259.3129251245525","-886.3227683694225","-131.63979704206682"
"20100","-386.54315493729104","-653.2784728839417","-140.07096005183493","-236.1533223902978","-495.80503134398487","-149.34992240436412","-154.65802329961156","-200.00409017669506","-119.95920096525742","-168.03100185047208","-200.0599256636611","-122.59430158301859","-298.53883348896983","-536.311986373121","-134.70498946594495","-228.07125416458507","-689.0886811274913","-130.44746358886454"
"20400","-383.4129525486063","-588.4215408291154","-206.49673386406963","-228.6765338815359","-395.2499479017972","-122.91918745435558","-161.1758335413458","-194.64130034677615","-125.30708807060107","-158.62498408237792","-207.6597648809039","-122.34645156697759","-338.71279410393925","-566.394404918184","-134.97463476849686","-154.46204344113804","-202.40141363510946","-123.47516602444603"
"20700","-428.6203545906443","-555.8520708754872","-293.7071228990418","-190.0083235774663","-211.3849259134528","-165.63218094055927","-155.44984718844165","-194.99799455502244","-122.39654100621351","-248.32732300343258","-1000.3353016038391","-121.24498620772934","-276.91706678328813","-531.9979850456599","-154.4849180756768","-155.47662019373195","-202.68111005202564","-128.27271603998716"
"21000","-383.6036959711037","-693.5541031247564","-162.64115893210732","-231.1532736053886","-482.42162245352586","-120.27689191343832","-183.16548742846288","-428.0725557754998","-120.9000667239585","-159.06060622263476","-206.54978587699597","-121.19636216019208","-330.8709580196075","-588.7708946647962","-164.14483955603487","-155.19982910727623","-191.90110965330845","-120.37938629954283"
"21300","-416.40187920591836","-846.2270482752141","-162.64315849422002","-192.31795687015054","-292.78134270725735","-127.28593106571489","-163.4408178574328","-263.61476491015907","-122.29199190479531","-156.51819316820138","-207.20162144580368","-121.79296112921736","-280.6496387072269","-433.11559433592737","-182.59680094531274","-153.82822631591466","-197.52642691518162","-125.73656783110853"
"21600","-363.5798073595913","-532.8856792196432","-181.61898499445397","-172.49577780075748","-215.35511883145873","-120.09121945597","-155.08037858521857","-196.5881922721475","-122.07526101716823","-159.0177810699601","-209.30005300956805","-119.40756444828222","-290.51694024818147","-681.6306619297059","-136.14097845192458","-161.00726541527962","-198.6517215773487","-125.1569864783368"
